county,dist_type,dist
Morgan,house,112
Glascock,senate,024
Glascock,house,124
Treutlen,senate,004
Treutlen,house,155
Walton,senate,046
Walton,senate,017
Walton,house,111
Walton,house,107
Muscogee,senate,015
Muscogee,senate,029
Muscogee,house,133
Muscogee,house,132
Muscogee,house,130
Muscogee,house,129
Muscogee,house,131
Wheeler,senate,019
Wheeler,house,154
Wheeler,house,155
Fayette,senate,016
Fayette,senate,034
Fayette,house,077
Fayette,house,066
Fayette,house,074
Fayette,house,073
Fayette,house,072
Early,senate,011
Early,house,149
Floyd,senate,052
Floyd,house,014
Floyd,house,016
Floyd,house,011
Floyd,house,013
Chattahoochee,senate,015
Chattahoochee,house,148
Towns,senate,050
Towns,house,008
Pike,senate,016
Pike,house,127
Lincoln,senate,024
Lincoln,house,117
Dade,senate,053
Dade,house,002
Franklin,senate,050
Franklin,house,029
Franklin,house,028
Coweta,senate,028
Coweta,house,070
Coweta,house,071
Walker,senate,053
Walker,house,002
Walker,house,001
Chattooga,senate,053
Chattooga,house,011
Carroll,senate,030
Carroll,senate,028
Carroll,house,018
Carroll,house,069
Carroll,house,068
Murray,senate,054
Murray,house,006
Murray,house,005
Talbot,senate,014
Talbot,house,130
Talbot,house,135
Talbot,house,134
Tift,senate,013
Tift,house,153
Tift,house,154
Peach,senate,014
Peach,house,136
Peach,house,135
Bryan,senate,001
Bryan,house,164
Bryan,house,158
Sumter,senate,014
Sumter,house,134
Calhoun,senate,012
Calhoun,house,149
Douglas,senate,030
Douglas,senate,035
Douglas,house,063
Douglas,house,064
Douglas,house,067
Douglas,house,068
Pulaski,senate,020
Pulaski,house,147
Pulaski,house,144
Atkinson,senate,007
Atkinson,house,169
DeKalb,senate,005
DeKalb,senate,010
DeKalb,senate,043
DeKalb,senate,041
DeKalb,senate,040
DeKalb,senate,042
DeKalb,senate,055
DeKalb,house,090
DeKalb,house,091
DeKalb,house,092
DeKalb,house,093
DeKalb,house,094
DeKalb,house,084
DeKalb,house,089
DeKalb,house,058
DeKalb,house,057
DeKalb,house,060
DeKalb,house,079
DeKalb,house,088
DeKalb,house,083
DeKalb,house,082
DeKalb,house,081
DeKalb,house,080
DeKalb,house,087
DeKalb,house,086
DeKalb,house,085
Wilcox,senate,013
Wilcox,senate,020
Wilcox,house,144
Troup,senate,029
Troup,senate,028
Troup,house,128
Troup,house,129
Troup,house,069
Crawford,senate,014
Crawford,senate,018
Crawford,house,136
Long,senate,019
Long,house,167
Gilmer,senate,051
Gilmer,house,007
Bleckley,senate,020
Bleckley,house,144
Gwinnett,senate,005
Gwinnett,senate,045
Gwinnett,senate,048
Gwinnett,senate,009
Gwinnett,senate,041
Gwinnett,senate,040
Gwinnett,senate,055
Gwinnett,house,098
Gwinnett,house,099
Gwinnett,house,095
Gwinnett,house,096
Gwinnett,house,097
Gwinnett,house,051
Gwinnett,house,102
Gwinnett,house,103
Gwinnett,house,100
Gwinnett,house,104
Gwinnett,house,105
Gwinnett,house,101
Gwinnett,house,106
Gwinnett,house,107
Gwinnett,house,088
Clayton,senate,034
Clayton,senate,044
Clayton,house,076
Clayton,house,077
Clayton,house,075
Clayton,house,060
Clayton,house,062
Clayton,house,074
Clayton,house,078
Brantley,senate,003
Brantley,house,178
Quitman,senate,012
Quitman,house,148
Hall,senate,049
Hall,house,025
Hall,house,027
Hall,house,026
Hall,house,031
Jones,senate,018
Jones,senate,025
Jones,house,125
Jones,house,140
Pierce,senate,007
Pierce,house,178
Laurens,senate,020
Laurens,house,143
Berrien,senate,007
Berrien,house,170
Berrien,house,176
Taliaferro,senate,025
Taliaferro,house,124
Emanuel,senate,023
Emanuel,senate,004
Emanuel,house,155
Emanuel,house,156
Emanuel,house,142
Telfair,senate,020
Telfair,house,154
Banks,senate,050
Banks,house,028
Mitchell,senate,011
Mitchell,senate,012
Mitchell,house,171
Stewart,senate,014
Stewart,house,148
Houston,senate,018
Houston,senate,026
Houston,senate,020
Houston,house,136
Houston,house,145
Houston,house,146
Houston,house,147
Whitfield,senate,054
Whitfield,house,003
Whitfield,house,006
Whitfield,house,004
Spalding,senate,016
Spalding,senate,017
Spalding,house,126
Spalding,house,073
Miller,senate,011
Miller,house,149
Habersham,senate,050
Habersham,house,010
Rabun,senate,050
Rabun,house,008
Bulloch,senate,004
Bulloch,house,157
Bulloch,house,156
Bulloch,house,158
Fannin,senate,051
Fannin,house,007
Tattnall,senate,019
Tattnall,senate,004
Tattnall,house,166
Turner,senate,013
Turner,house,153
Twiggs,senate,026
Twiggs,house,140
Randolph,senate,012
Randolph,house,149
Monroe,senate,016
Monroe,senate,018
Monroe,house,136
Monroe,house,125
